Duration_Days,Frequency,Cumulative_Probability
100.9,1,0.0703
100.9,1,0.0704
100.9,1,0.0705
100.9,1,0.0706
100.9,1,0.0707
100.9,1,0.0708
100.9,1,0.0709
100.9,1,0.0710
100.9,1,0.0711
100.9,1,0.0712
100.9,1,0.0713
100.9,1,0.0714
101.0,1,0.0715
101.0,1,0.0716
101.0,1,0.0717
101.0,1,0.0718
101.0,1,0.0719
101.0,1,0.0720
101.0,1,0.0721
101.0,1,0.0722
101.0,1,0.0723
101.0,1,0.0724
101.0,1,0.0725
101.0,1,0.0726
101.0,1,0.0727
101.0,1,0.0728
101.0,1,0.0729
101.0,1,0.0730
101.0,1,0.0731
101.0,1,0.0732
101.0,1,0.0733
101.0,1,0.0734
101.0,1,0.0735
101.0,1,0.0736
101.0,1,0.0737
101.0,1,0.0738
101.0,1,0.0739
101.0,1,0.0740
101.0,1,0.0741
101.0,1,0.0742
101.0,1,0.0743
101.0,1,0.0744
101.0,1,0.0745
101.0,1,0.0746
101.0,1,0.0747
101.0,1,0.0748
101.0,1,0.0749
101.0,1,0.0750
101.0,1,0.0751
101.0,1,0.0752
101.1,1,0.0753
101.1,1,0.0754
101.1,1,0.0755
101.1,1,0.0756
101.1,1,0.0757
101.1,1,0.0758
101.1,1,0.0759
101.1,1,0.0760
101.1,1,0.0761
101.1,1,0.0762
101.1,1,0.0763
101.1,1,0.0764
101.1,1,0.0765
101.1,1,0.0766
101.1,1,0.0767
101.1,1,0.0768
101.1,1,0.0769
101.1,1,0.0770
101.1,1,0.0771
101.1,1,0.0772
101.1,1,0.0773
101.1,1,0.0774
101.1,1,0.0775
101.1,1,0.0776
101.1,1,0.0777
101.1,1,0.0778
101.1,1,0.0779
101.1,1,0.0780
101.2,1,0.0781
101.2,1,0.0782
101.2,1,0.0783
101.2,1,0.0784
101.2,1,0.0785
101.2,1,0.0786
101.2,1,0.0787
101.2,1,0.0788
101.2,1,0.0789
101.2,1,0.0790
101.2,1,0.0791
101.2,1,0.0792
101.2,1,0.0793
101.2,1,0.0794
101.2,1,0.0795
101.2,1,0.0796
101.2,1,0.0797
101.2,1,0.0798
101.2,1,0.0799
101.2,1,0.0800
101.2,1,0.0801
101.2,1,0.0802
101.2,1,0.0803
101.2,1,0.0804
101.2,1,0.0805
101.2,1,0.0806
101.2,1,0.0807
101.2,1,0.0808
101.2,1,0.0809
101.2,1,0.0810
101.3,1,0.0811
101.3,1,0.0812
101.3,1,0.0813
101.3,1,0.0814
101.3,1,0.0815
101.3,1,0.0816
101.3,1,0.0817
101.3,1,0.0818
101.3,1,0.0819
101.3,1,0.0820
101.3,1,0.0821
101.3,1,0.0822
101.3,1,0.0823
101.3,1,0.0824
101.3,1,0.0825
101.3,1,0.0826
101.3,1,0.0827
101.3,1,0.0828
101.3,1,0.0829
101.3,1,0.0830
101.3,1,0.0831
101.3,1,0.0832
101.3,1,0.0833
101.3,1,0.0834
101.3,1,0.0835
101.3,1,0.0836
101.3,1,0.0837
101.3,1,0.0838
101.3,1,0.0839
101.3,1,0.0840
101.3,1,0.0841
101.3,1,0.0842
101.3,1,0.0843
101.3,1,0.0844
101.3,1,0.0845
101.4,1,0.0846
101.4,1,0.0847
101.4,1,0.0848
101.4,1,0.0849
101.4,1,0.0850
101.4,1,0.0851
101.4,1,0.0852
101.4,1,0.0853
101.4,1,0.0854
101.4,1,0.0855
101.4,1,0.0856
101.4,1,0.0857
101.4,1,0.0858
101.4,1,0.0859
101.4,1,0.0860
101.4,1,0.0861
101.4,1,0.0862
101.4,1,0.0863
101.4,1,0.0864
101.4,1,0.0865
101.4,1,0.0866
101.4,1,0.0867
101.4,1,0.0868
101.4,1,0.0869
101.4,1,0.0870
101.4,1,0.0871
101.4,1,0.0872
101.4,1,0.0873
101.4,1,0.0874
101.4,1,0.0875
101.4,1,0.0876
101.4,1,0.0877
101.4,1,0.0878
101.4,1,0.0879
101.4,1,0.0880
101.4,1,0.0881
101.4,1,0.0882
101.5,1,0.0883
101.5,1,0.0884
101.5,1,0.0885
101.5,1,0.0886
101.5,1,0.0887
101.5,1,0.0888
101.5,1,0.0889
101.5,1,0.0890
101.5,1,0.0891
101.5,1,0.0892
101.5,1,0.0893
101.5,1,0.0894
101.5,1,0.0895
101.5,1,0.0896
101.5,1,0.0897
101.5,1,0.0898
101.5,1,0.0899
101.5,1,0.0900
101.5,1,0.0901
101.5,1,0.0902
101.5,1,0.0903
101.5,1,0.0904
101.5,1,0.0905
101.5,1,0.0906
101.5,1,0.0907
101.5,1,0.0908
101.5,1,0.0909
101.5,1,0.0910
101.5,1,0.0911
101.5,1,0.0912
101.5,1,0.0913
101.5,1,0.0914
101.5,1,0.0915
101.5,1,0.0916
101.6,1,0.0917
101.6,1,0.0918
101.6,1,0.0919
101.6,1,0.0920
101.6,1,0.0921
101.6,1,0.0922
101.6,1,0.0923
101.6,1,0.0924
101.6,1,0.0925
101.6,1,0.0926
101.6,1,0.0927
101.6,1,0.0928
101.6,1,0.0929
101.6,1,0.0930
101.6,1,0.0931
101.6,1,0.0932
101.6,1,0.0933
101.6,1,0.0934
101.6,1,0.0935
101.6,1,0.0936
101.6,1,0.0937
101.6,1,0.0938
101.6,1,0.0939
101.6,1,0.0940
101.6,1,0.0941
101.6,1,0.0942
101.6,1,0.0943
101.6,1,0.0944
101.6,1,0.0945
101.6,1,0.0946
101.6,1,0.0947
101.6,1,0.0948
101.6,1,0.0949
101.6,1,0.0950
101.6,1,0.0951
101.6,1,0.0952
101.6,1,0.0953
101.6,1,0.0954
101.6,1,0.0955
101.6,1,0.0956
101.6,1,0.0957
101.6,1,0.0958
101.6,1,0.0959
101.6,1,0.0960
101.7,1,0.0961
101.7,1,0.0962
101.7,1,0.0963
101.7,1,0.0964
101.7,1,0.0965
101.7,1,0.0966
101.7,1,0.0967
101.7,1,0.0968
101.7,1,0.0969
101.7,1,0.0970
101.7,1,0.0971
101.7,1,0.0972
101.7,1,0.0973
101.7,1,0.0974
101.7,1,0.0975
101.7,1,0.0976
101.7,1,0.0977
101.7,1,0.0978
101.7,1,0.0979
101.7,1,0.0980
101.7,1,0.0981
101.7,1,0.0982
101.7,1,0.0983
101.7,1,0.0984
101.7,1,0.0985
101.7,1,0.0986
101.7,1,0.0987
101.7,1,0.0988
101.7,1,0.0989
101.7,1,0.0990
101.7,1,0.0991
101.7,1,0.0992
101.7,1,0.0993
101.7,1,0.0994
101.7,1,0.0995
101.7,1,0.0996
101.7,1,0.0997
101.7,1,0.0998
101.7,1,0.0999
101.8,1,0.1000
101.8,1,0.1001
101.8,1,0.1002
101.8,1,0.1003
101.8,1,0.1004
101.8,1,0.1005
101.8,1,0.1006
101.8,1,0.1007
101.8,1,0.1008
101.8,1,0.1009
101.8,1,0.1010
101.8,1,0.1011
101.8,1,0.1012
101.8,1,0.1013
101.8,1,0.1014
101.8,1,0.1015
101.8,1,0.1016
101.8,1,0.1017
101.8,1,0.1018
101.8,1,0.1019
101.8,1,0.1020
101.8,1,0.1021
101.8,1,0.1022
101.8,1,0.1023
101.8,1,0.1024
101.8,1,0.1025
101.8,1,0.1026
101.8,1,0.1027
101.8,1,0.1028
101.8,1,0.1029
101.8,1,0.1030
101.8,1,0.1031
101.8,1,0.1032
101.8,1,0.1033
101.8,1,0.1034
101.8,1,0.1035
101.8,1,0.1036
101.8,1,0.1037
101.8,1,0.1038
101.8,1,0.1039
101.8,1,0.1040
101.8,1,0.1041
101.8,1,0.1042
101.8,1,0.1043
101.8,1,0.1044
101.8,1,0.1045
101.8,1,0.1046
101.8,1,0.1047
101.8,1,0.1048
101.9,1,0.1049
101.9,1,0.1050
101.9,1,0.1051
101.9,1,0.1052
101.9,1,0.1053
101.9,1,0.1054
101.9,1,0.1055
101.9,1,0.1056
101.9,1,0.1057
101.9,1,0.1058
101.9,1,0.1059
101.9,1,0.1060
101.9,1,0.1061
101.9,1,0.1062
101.9,1,0.1063
101.9,1,0.1064
101.9,1,0.1065
101.9,1,0.1066
101.9,1,0.1067
101.9,1,0.1068
101.9,1,0.1069
101.9,1,0.1070
101.9,1,0.1071
101.9,1,0.1072
101.9,1,0.1073
101.9,1,0.1074
101.9,1,0.1075
101.9,1,0.1076
101.9,1,0.1077
101.9,1,0.1078
101.9,1,0.1079
101.9,1,0.1080
101.9,1,0.1081
101.9,1,0.1082
101.9,1,0.1083
101.9,1,0.1084
101.9,1,0.1085
101.9,1,0.1086
101.9,1,0.1087
101.9,1,0.1088
101.9,1,0.1089
101.9,1,0.1090
101.9,1,0.1091
101.9,1,0.1092
101.9,1,0.1093
101.9,1,0.1094
101.9,1,0.1095
101.9,1,0.1096
101.9,1,0.1097
101.9,1,0.1098
102.0,1,0.1099
102.0,1,0.1100
102.0,1,0.1101
102.0,1,0.1102
102.0,1,0.1103
102.0,1,0.1104
102.0,1,0.1105
102.0,1,0.1106
102.0,1,0.1107
102.0,1,0.1108
102.0,1,0.1109
102.0,1,0.1110
102.0,1,0.1111
102.0,1,0.1112
102.0,1,0.1113
102.0,1,0.1114
102.0,1,0.1115
102.0,1,0.1116
102.0,1,0.1117
102.0,1,0.1118
102.0,1,0.1119
102.0,1,0.1120
102.0,1,0.1121
102.0,1,0.1122
102.0,1,0.1123
102.0,1,0.1124
102.0,1,0.1125
102.0,1,0.1126
102.0,1,0.1127
102.0,1,0.1128
102.0,1,0.1129
102.0,1,0.1130
102.0,1,0.1131
102.0,1,0.1132
102.0,1,0.1133
102.0,1,0.1134
102.0,1,0.1135
102.0,1,0.1136
102.0,1,0.1137
102.0,1,0.1138
102.0,1,0.1139
102.0,1,0.1140
102.0,1,0.1141
102.0,1,0.1142
102.0,1,0.1143
102.0,1,0.1144
102.0,1,0.1145
102.0,1,0.1146
102.0,1,0.1147
102.0,1,0.1148
102.0,1,0.1149
102.0,1,0.1150
102.0,1,0.1151
102.0,1,0.1152
102.0,1,0.1153
102.1,1,0.1154
102.1,1,0.1155
102.1,1,0.1156
102.1,1,0.1157
102.1,1,0.1158
102.1,1,0.1159
102.1,1,0.1160
102.1,1,0.1161
102.1,1,0.1162
102.1,1,0.1163
102.1,1,0.1164
102.1,1,0.1165
102.1,1,0.1166
102.1,1,0.1167
102.1,1,0.1168
102.1,1,0.1169
102.1,1,0.1170
102.1,1,0.1171
102.1,1,0.1172
102.1,1,0.1173
102.1,1,0.1174
102.1,1,0.1175
102.1,1,0.1176
102.1,1,0.1177
102.1,1,0.1178
102.1,1,0.1179
102.1,1,0.1180
102.1,1,0.1181
102.1,1,0.1182
102.1,1,0.1183
102.1,1,0.1184
102.1,1,0.1185
102.1,1,0.1186
102.1,1,0.1187
102.1,1,0.1188
102.1,1,0.1189
102.1,1,0.1190
102.1,1,0.1191
102.1,1,0.1192
102.1,1,0.1193
102.1,1,0.1194
102.1,1,0.1195
102.1,1,0.1196
102.1,1,0.1197
102.1,1,0.1198
102.1,1,0.1199
102.1,1,0.1200
102.1,1,0.1201
102.2,1,0.1202
102.2,1,0.1203
102.2,1,0.1204
102.2,1,0.1205
102.2,1,0.1206
102.2,1,0.1207
102.2,1,0.1208
102.2,1,0.1209
102.2,1,0.1210
102.2,1,0.1211
102.2,1,0.1212
102.2,1,0.1213
102.2,1,0.1214
102.2,1,0.1215
102.2,1,0.1216
102.2,1,0.1217
102.2,1,0.1218
102.2,1,0.1219
102.2,1,0.1220
102.2,1,0.1221
102.2,1,0.1222
102.2,1,0.1223
102.2,1,0.1224
102.2,1,0.1225
102.2,1,0.1226
102.2,1,0.1227
102.2,1,0.1228
102.2,1,0.1229
102.2,1,0.1230
102.2,1,0.1231
102.2,1,0.1232
102.2,1,0.1233
102.2,1,0.1234
102.2,1,0.1235
102.2,1,0.1236
102.2,1,0.1237
102.2,1,0.1238
102.2,1,0.1239
102.2,1,0.1240
102.2,1,0.1241
102.2,1,0.1242
102.2,1,0.1243
102.2,1,0.1244
102.2,1,0.1245
102.2,1,0.1246
102.2,1,0.1247
102.2,1,0.1248
102.2,1,0.1249
102.2,1,0.1250
102.2,1,0.1251
102.2,1,0.1252
102.2,1,0.1253
102.2,1,0.1254
102.2,1,0.1255
102.2,1,0.1256
102.3,1,0.1257
102.3,1,0.1258
102.3,1,0.1259
102.3,1,0.1260
102.3,1,0.1261
102.3,1,0.1262
102.3,1,0.1263
102.3,1,0.1264
102.3,1,0.1265
102.3,1,0.1266
